history_sequence,user_prompt,user_intent,candidate_endpoint,candidate_http_method,candidate_has_path_parameters,candidate_has_query_parameters,candidate_requires_request_body,candidate_path_depth,candidate_summary,next_call_user_made,llm_reason_for_candidate,is_actual_next_call
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/payment_methods","POST",FALSE,FALSE,TRUE,1,"Creates a new payment method.",/payment_methods,"Intent strongly points to creating billing; common follow-up to customer creation.",1
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/customers/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves customer details.",/payment_methods,"Related, but not directly addressing 'set up billing'.",0
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/subscriptions","POST",FALSE,FALSE,TRUE,1,"Creates a new subscription.",/payment_methods,"Likely next after payment method, but user hasn't set one up yet.",0
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/invoices","GET",FALSE,FALSE,FALSE,1,"Lists all invoices.",/payment_methods,"Unrelated to setting up new billing for a customer.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/carts","POST",FALSE,FALSE,TRUE,1,"Adds an item to the shopping cart.",/carts,"Prompt and history indicate intent to proceed with purchase.",1
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/products","POST",FALSE,FALSE,TRUE,1,"Creates a new product.",/carts,"User is buying, not creating products.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/orders","GET",FALSE,TRUE,FALSE,1,"Lists previous orders.",/carts,"Checking past orders is not the current intent.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/users/{id}/addresses","PUT",TRUE,FALSE,TRUE,3,"Updates user address.",/carts,"Not directly related to product purchase flow.",0
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/invoices/{id}/pay","POST",TRUE,FALSE,FALSE,3,"Processes payment for an invoice.",/invoices/{id}/pay,"Directly addresses the prompt to 'settle this invoice'.",1
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/invoices/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates an invoice.",/invoices/{id}/pay,"User wants to pay, not modify the invoice details.",0
